"HHID","prcid","pltid","a3aq40a","a3aq40b","a3aq40c","line","PID","female","cropID","a4aq8","a5aq8","yield","lnvalue","lnarea","year"
1021002810,1,1,1,5,6,1,102100281001,1,741,0.5,0,0,0,0.405465108108164,2010
1021002810,1,1,1,5,6,1,102100281001,1,770,0.5,0,0,0,0.405465108108164,2010
1033000301,1,3,9,NA,NA,9,103300030109,1,741,25,0,0,0,3.25809653802148,2010
1033000301,1,3,9,NA,NA,9,103300030109,1,810,25,0,0,0,3.25809653802148,2010
1033000301,1,4,9,NA,NA,9,103300030109,1,210,0.129999995231628,0,0,0,0.122217628504451,2010
1033000301,1,4,9,NA,NA,9,103300030109,1,620,0.129999995231628,0,0,0,0.122217628504451,2010
1033000301,1,2,9,NA,NA,9,103300030109,1,742,0.5,0,0,0,0.405465108108164,2010
1033000301,1,1,1,9,NA,1,103300030101,0,130,1,0,0,0,0.693147180559945,2010
1033000302,1,1,1,2,NA,1,103300030201,1,741,3,0,0,0,1.38629436111989,2010
1033000302,1,1,1,2,NA,1,103300030201,1,130,3,30000,10000,10.3089859934221,1.38629436111989,2010
1033000302,1,1,1,2,NA,1,103300030201,1,210,3,0,0,0,1.38629436111989,2010
1033000302,1,1,1,2,NA,1,103300030201,1,630,3,0,0,0,1.38629436111989,2010
1033000302,2,1,1,2,NA,1,103300030201,1,141,4,19500,4875,9.87822102528824,1.6094379124341,2010
1033000304,1,1,4,5,6,4,103300030404,1,741,1,0,0,0,0.693147180559945,2010
1033000304,1,1,4,5,6,4,103300030404,1,742,1,0,0,0,0.693147180559945,2010
1033000304,1,1,4,5,6,4,103300030404,1,810,1,0,0,0,0.693147180559945,2010
103300030402,1,1,1,2,5,1,10330003040201,0,222,0.25,0,0,0,0.22314355131421,2010
103300030402,1,2,1,2,5,1,10330003040201,0,630,0.25,0,0,0,0.22314355131421,2010
103300030402,1,2,1,2,5,1,10330003040201,0,741,0.25,0,0,0,0.22314355131421,2010
103300030402,1,2,1,2,5,1,10330003040201,0,620,0.25,0,0,0,0.22314355131421,2010
103300030402,21,1,1,2,5,1,10330003040201,0,890,1,200000,200000,12.2060776455177,0.693147180559945,2010
103300030403,1,1,1,2,NA,1,10330003040301,0,741,0.699999988079071,0,0,0,0.530628244049859,2010
103300030403,1,1,1,2,NA,1,10330003040301,0,810,0.699999988079071,30000,42857.1435869957,10.3089859934221,0.530628244049859,2010
1033000305,21,1,1,2,NA,1,103300030501,0,130,1,500000,500000,13.1223653774023,0.693147180559945,2010
1033000305,21,1,1,2,NA,1,103300030501,0,210,1,0,0,0,0.693147180559945,2010
1033000305,1,1,1,2,NA,1,103300030501,0,741,0.400000005960464,16000,39999.9994039536,9.68040649926887,0.336472240878687,2010
1033000305,1,1,1,2,NA,1,103300030501,0,470,0.400000005960464,0,0,0,0.336472240878687,2010
103300030702,2,1,1,2,NA,1,10330003070301,0,630,0.400000005960464,35000,87499.9986961485,10.463131911492,0.336472240878687,2010
103300030702,2,2,1,2,NA,1,10330003070301,0,210,0.600000023841858,20000,33333.3320087857,9.90353755128617,0.470003644146897,2010
103300030702,2,2,1,2,NA,1,10330003070301,0,620,30,30000,1000,10.3089859934221,3.43398720448515,2010
103300030702,3,2,1,2,NA,1,10330003070301,0,310,0.200000002980232,15000,74999.998882413,9.61587214452889,0.182321559277481,2010
103300030702,3,2,1,2,NA,1,10330003070301,0,630,0.100000001490116,10000,99999.998509884,9.21044036697652,0.0953101811589757,2010
103300030702,1,1,1,2,NA,1,10330003070301,0,210,3,15000,5000,9.61587214452889,1.38629436111989,2010
103300030702,1,1,1,2,NA,1,10330003070301,0,130,3,20000,6666.66666666667,9.90353755128617,1.38629436111989,2010
103300030702,3,1,1,2,NA,1,10330003070301,0,620,0.300000011920929,70000,233333.3240615,11.1562648066437,0.262364273637436,2010
1033000308,1,1,1,2,NA,1,103300030801,1,741,0.0700000002980232,12000,171428.570698719,9.39274525863144,0.0676586487523412,2010
1033000308,21,1,1,2,NA,1,103300030801,1,130,2,900000,450000,13.7101511534169,1.09861228866811,2010
1033000308,22,1,1,2,NA,1,103300030801,1,130,0.5,0,0,0,0.405465108108164,2010
1033000308,22,1,1,2,NA,1,103300030801,1,210,0.5,0,0,0,0.405465108108164,2010
1033000310,3,1,1,2,NA,1,103300031001,0,741,0.5,0,0,0,0.405465108108164,2010
1033000310,1,1,1,2,NA,1,103300031001,0,810,0.25,0,0,0,0.22314355131421,2010
1033000310,1,1,1,2,NA,1,103300031001,0,741,0.25,0,0,0,0.22314355131421,2010
1033000310,2,1,1,2,NA,1,103300031001,0,810,0.75,0,0,0,0.559615787935423,2010
1033000310,2,1,1,2,NA,1,103300031001,0,210,0.75,0,0,0,0.559615787935423,2010
1033000504,1,1,1,2,NA,1,103300050401,0,630,0.800000011920929,0,0,0,0.587786671524857,2010
1033000504,1,1,1,2,NA,1,103300050401,0,210,0.800000011920929,0,0,0,0.587786671524857,2010
1033000504,1,1,1,2,NA,1,103300050401,0,741,0.800000011920929,0,0,0,0.587786671524857,2010
1033000504,1,1,1,2,NA,1,103300050401,0,620,0.800000011920929,0,0,0,0.587786671524857,2010
1033000504,1,1,1,2,NA,1,103300050401,0,640,0.800000011920929,0,0,0,0.587786671524857,2010
1033000504,1,1,1,2,NA,1,103300050401,0,810,0.800000011920929,15000,18749.9997206032,9.61587214452889,0.587786671524857,2010
1033000505,1,3,1,2,6,1,103300050501,0,810,0.25,0,0,0,0.22314355131421,2010
1033000505,21,1,1,4,6,1,103300050501,0,210,0.25,100000,400000,11.5129354649202,0.22314355131421,2010
1033000505,21,1,1,4,6,1,103300050501,0,130,0.25,15000,60000,9.61587214452889,0.22314355131421,2010
1033000505,1,2,4,NA,NA,4,103300050504,0,310,0.25,0,0,0,0.22314355131421,2010
1033000505,1,1,4,5,NA,4,103300050504,0,741,1,0,0,0,0.693147180559945,2010
1033000505,1,1,4,5,NA,4,103300050504,0,742,1,14400,14400,9.57505292759738,0.693147180559945,2010
1033000506,1,2,1,2,NA,1,103300050601,0,741,1,40000,40000,10.5966597327836,0.693147180559945,2010
1033000506,1,4,1,2,3,1,103300050601,0,130,1,0,0,0,0.693147180559945,2010
1033000506,1,4,1,2,3,1,103300050601,0,810,1,0,0,0,0.693147180559945,2010
1033000506,1,3,1,2,3,1,103300050601,0,630,1,0,0,0,0.693147180559945,2010
1033000506,1,3,1,2,3,1,103300050601,0,810,1,0,0,0,0.693147180559945,2010
1033000506,1,1,1,2,NA,1,103300050601,0,741,1,0,0,0,0.693147180559945,2010
1033000506,1,1,1,2,NA,1,103300050601,0,810,1,80000,80000,11.2897944135779,0.693147180559945,2010
1033000507,2,1,3,5,6,3,103300050703,1,630,3,0,0,0,1.38629436111989,2010
1033000507,2,1,3,5,6,3,103300050703,1,741,3,0,0,0,1.38629436111989,2010
1033000507,1,1,2,3,5,2,103300050702,1,741,2,0,0,0,1.09861228866811,2010
1033000507,1,1,2,3,5,2,103300050702,1,130,2,0,0,0,1.09861228866811,2010
1033000507,1,1,2,3,5,2,103300050702,1,810,2,18000,9000,9.7981825908907,1.09861228866811,2010
1033000507,1,1,2,3,5,2,103300050702,1,210,2,0,0,0,1.09861228866811,2010
1033000509,1,2,1,2,4,1,103300050901,0,210,0.25,0,0,0,0.22314355131421,2010
1033000509,21,2,1,2,4,1,103300050901,0,630,0.25,0,0,0,0.22314355131421,2010
1033000509,21,3,1,3,4,1,103300050901,0,620,0.25,0,0,0,0.22314355131421,2010
1033000509,21,1,1,2,4,1,103300050901,0,630,0.25,0,0,0,0.22314355131421,2010
1033000509,21,4,1,2,3,1,103300050901,0,130,0.25,80000,320000,11.2897944135779,0.22314355131421,2010
1033000509,1,1,1,2,3,1,103300050901,0,741,0.25,0,0,0,0.22314355131421,2010
1033000510,21,1,2,6,7,2,103300051002,1,630,1,50000,50000,10.8197982842103,0.693147180559945,2010
1033000510,21,1,2,6,7,2,103300051002,1,130,1,30000,30000,10.3089859934221,0.693147180559945,2010
1033000510,21,1,2,6,7,2,103300051002,1,210,1,20000,20000,9.90353755128617,0.693147180559945,2010
1033000511,21,1,1,NA,2,1,103300051101,0,130,2,50000,25000,10.8197982842103,1.09861228866811,2010
1033000511,1,1,2,NA,1,2,103300051102,1,742,0.300000011920929,0,0,0,0.262364273637436,2010
1033000511,1,1,2,NA,1,2,103300051102,1,130,0.300000011920929,0,0,0,0.262364273637436,2010
1033000511,1,1,2,NA,1,2,103300051102,1,210,0.300000011920929,0,0,0,0.262364273637436,2010
103300051102,1,1,1,2,NA,1,10330005110201,0,742,2,230000,115000,12.345838935722,1.09861228866811,2010
103300051102,1,1,1,2,NA,1,10330005110201,0,741,2,384000,192000,12.8584004357331,1.09861228866811,2010
103300051102,1,1,1,2,NA,1,10330005110201,0,744,2,12000,6000,9.39274525863144,1.09861228866811,2010
103300051102,2,1,1,2,NA,1,10330005110201,0,741,1,0,0,0,0.693147180559945,2010
103300051102,2,1,1,2,NA,1,10330005110201,0,130,1,50000,50000,10.8197982842103,0.693147180559945,2010
103300051102,2,1,1,2,NA,1,10330005110201,0,744,1,0,0,0,0.693147180559945,2010
103300051102,2,1,1,2,NA,1,10330005110201,0,210,1,96000,96000,11.4721138870624,0.693147180559945,2010
1041000209,21,1,2,3,4,2,104100020902,1,744,2,0,0,0,1.09861228866811,2010
1041000209,21,1,2,3,4,2,104100020902,1,130,2,0,0,0,1.09861228866811,2010
1041000209,21,1,2,3,4,2,104100020902,1,210,2,0,0,0,1.09861228866811,2010
1043000402,1,2,2,4,1,2,104300040202,1,630,0.25,0,0,0,0.22314355131421,2010
1043000402,1,4,2,4,1,2,104300040202,1,210,0.25,0,0,0,0.22314355131421,2010
1043000402,1,1,2,4,1,2,104300040202,1,741,0.5,0,0,0,0.405465108108164,2010
1043000402,1,1,2,4,1,2,104300040202,1,810,0.5,170000,340000,12.043559598368,0.405465108108164,2010
1043000402,1,3,2,4,1,2,104300040202,1,620,0.25,0,0,0,0.22314355131421,2010
1043000403,21,4,2,3,NA,2,104300040302,0,470,0.100000001490116,90000,899999.986588956,11.4075760603618,0.0953101811589757,2010
1043000403,21,2,2,NA,NA,2,104300040302,0,620,0.200000002980232,0,0,0,0.182321559277481,2010
1043000403,21,5,1,NA,NA,1,104300040301,0,744,0.100000001490116,15000,149999.997764826,9.61587214452889,0.0953101811589757,2010
1043000403,21,3,1,2,7,1,104300040301,0,210,0.5,0,0,0,0.405465108108164,2010
1043000403,21,3,1,2,7,1,104300040301,0,630,0.200000002980232,0,0,0,0.182321559277481,2010
1043000403,21,1,2,NA,NA,2,104300040302,0,810,0.400000005960464,20250,50624.9992456288,9.91595945403145,0.336472240878687,2010
1043000403,21,1,2,NA,NA,2,104300040302,0,741,0.400000005960464,63000,157499.997653067,11.0509058782636,0.336472240878687,2010
1043000403,21,1,2,NA,NA,2,104300040302,0,744,0.400000005960464,20000,49999.999254942,9.90353755128617,0.336472240878687,2010
1043000403,21,1,2,NA,NA,2,104300040302,0,310,0.400000005960464,0,0,0,0.336472240878687,2010
1043000406,1,2,1,2,NA,1,104300040601,1,130,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000406,1,2,1,2,NA,1,104300040601,1,210,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000406,1,1,1,2,NA,1,104300040601,1,741,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000406,1,1,1,2,NA,1,104300040601,1,810,0.100000001490116,7000,69999.9989569188,8.8538082749772,0.0953101811589757,2010
1043000407,1,2,1,2,NA,1,104300040701,0,620,0.5,20000,40000,9.90353755128617,0.405465108108164,2010
1043000407,1,5,2,3,4,2,104300040702,1,210,0.25,0,0,0,0.22314355131421,2010
1043000407,1,3,1,2,3,1,104300040701,0,741,0.5,28000,56000,10.2399955028053,0.405465108108164,2010
1043000407,1,1,1,2,3,1,104300040701,0,450,0.75,0,0,0,0.559615787935423,2010
1043000407,1,1,1,2,3,1,104300040701,0,630,0.75,380000,506666.666666667,12.8479291632781,0.559615787935423,2010
1043000407,1,4,1,2,3,1,104300040701,0,130,0.25,0,0,0,0.22314355131421,2010
1043000407,1,4,1,2,3,1,104300040701,0,630,0.25,0,0,0,0.22314355131421,2010
1043000409,2,2,2,4,6,2,104300040902,1,620,1,0,0,0,0.693147180559945,2010
1043000409,21,3,1,NA,NA,1,104300040901,0,440,0.25,0,0,0,0.22314355131421,2010
1043000409,1,1,3,NA,NA,3,104300040903,0,630,0.25,0,0,0,0.22314355131421,2010
1043000409,2,3,2,5,6,2,104300040902,1,120,0.5,0,0,0,0.405465108108164,2010
1043000409,2,1,2,3,5,2,104300040902,1,630,1,0,0,0,0.693147180559945,2010
1043000409,21,2,1,3,4,1,104300040901,0,620,2,200000,100000,12.2060776455177,1.09861228866811,2010
1043000409,3,1,2,3,4,2,104300040902,1,630,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000409,21,4,1,NA,NA,1,104300040901,0,610,0.25,0,0,0,0.22314355131421,2010
1043000409,21,1,1,3,5,1,104300040901,0,130,1.5,190000,126666.666666667,12.1547846142867,0.916290731874155,2010
104300040906,1,1,1,2,4,1,10430004090601,0,741,2,50000,25000,10.8197982842103,1.09861228866811,2010
104300040906,1,1,1,2,4,1,10430004090601,0,810,2,240000,120000,12.3883983689821,1.09861228866811,2010
104300040906,1,1,1,2,4,1,10430004090601,0,770,2,0,0,0,1.09861228866811,2010
104300040906,1,1,1,2,4,1,10430004090601,0,744,2,0,0,0,1.09861228866811,2010
104300040906,1,1,1,2,4,1,10430004090601,0,760,2,0,0,0,1.09861228866811,2010
104300040906,1,4,1,2,7,1,10430004090601,0,130,1,750000,750000,13.5278298188449,0.693147180559945,2010
104300040906,1,2,1,2,5,1,10430004090601,0,510,2,7200000,3600000,15.7895917228752,1.09861228866811,2010
104300040906,1,3,1,2,6,1,10430004090601,0,720,1,0,0,0,0.693147180559945,2010
104300040908,2,1,2,3,4,2,10430004090802,1,630,0.75,0,0,0,0.559615787935423,2010
104300040908,1,1,1,2,3,1,10430004090801,0,760,2,0,0,0,1.09861228866811,2010
104300040908,1,1,1,2,3,1,10430004090801,0,750,2,170000,85000,12.043559598368,1.09861228866811,2010
104300040908,1,1,1,2,3,1,10430004090801,0,810,2,350000,175000,12.7656912906044,1.09861228866811,2010
104300040908,1,1,1,2,3,1,10430004090801,0,741,2,0,0,0,1.09861228866811,2010
104300040908,1,2,2,3,4,2,10430004090802,1,630,5,0,0,0,1.79175946922805,2010
1043000410,2,1,1,8,10,1,104300041001,1,210,1,48000,48000,10.7789771230064,0.693147180559945,2010
1043000410,1,3,1,8,10,1,104300041001,1,210,0.5,2400,4800,7.78364059622125,0.405465108108164,2010
1043000410,1,3,1,8,10,1,104300041001,1,130,0.5,0,0,0,0.405465108108164,2010
1043000410,1,2,1,10,8,1,104300041001,1,620,0.5,0,0,0,0.405465108108164,2010
1043000410,1,1,1,8,10,1,104300041001,1,810,2,0,0,0,1.09861228866811,2010
1043000410,1,1,1,8,10,1,104300041001,1,741,2,100000,50000,11.5129354649202,1.09861228866811,2010
1043000410,1,4,1,8,10,1,104300041001,1,310,0.5,0,0,0,0.405465108108164,2010
1043000601,1,2,2,3,NA,2,104300060102,1,630,0.5,200000,400000,12.2060776455177,0.405465108108164,2010
1043000601,21,1,2,3,NA,2,104300060102,1,630,0.25,0,0,0,0.22314355131421,2010
1043000601,1,1,2,3,NA,2,104300060102,1,620,0.25,0,0,0,0.22314355131421,2010
1043000601,1,1,2,3,NA,2,104300060102,1,741,0.25,0,0,0,0.22314355131421,2010
1043000602,21,1,1,2,NA,1,104300060201,0,130,3,0,0,0,1.38629436111989,2010
1043000602,21,1,1,2,NA,1,104300060201,0,210,3,0,0,0,1.38629436111989,2010
1043000602,21,1,1,2,NA,1,104300060201,0,630,3,160000,53333.3333333333,11.9829353441964,1.38629436111989,2010
1043000602,21,1,1,2,NA,1,104300060201,0,741,3,0,0,0,1.38629436111989,2010
1043000602,21,1,1,2,NA,1,104300060201,0,620,3,0,0,0,1.38629436111989,2010
1043000603,21,7,1,2,12,1,104300060301,0,620,0.600000023841858,0,0,0,0.470003644146897,2010
1043000603,21,6,1,2,12,1,104300060301,0,630,0.400000005960464,0,0,0,0.336472240878687,2010
1043000603,21,5,1,2,7,1,104300060301,0,210,0.200000002980232,0,0,0,0.182321559277481,2010
1043000603,21,5,1,2,7,1,104300060301,0,130,0.200000002980232,0,0,0,0.182321559277481,2010
1043000604,22,2,1,2,3,1,104300060401,1,620,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000604,21,2,1,2,NA,1,104300060401,1,630,0.25,0,0,0,0.22314355131421,2010
1043000604,22,1,1,2,3,1,104300060401,1,741,0.150000005960464,0,0,0,0.139761947558171,2010
1043000604,21,1,1,3,NA,1,104300060401,1,130,0.5,0,0,0,0.405465108108164,2010
1043000604,21,3,1,2,3,1,104300060401,1,640,0.25,0,0,0,0.22314355131421,2010
1043000604,1,1,1,2,3,1,104300060401,1,810,0.25,15000,60000,9.61587214452889,0.22314355131421,2010
1043000604,1,1,1,2,3,1,104300060401,1,741,0.25,0,0,0,0.22314355131421,2010
1043000604,1,1,1,2,3,1,104300060401,1,760,0.25,0,0,0,0.22314355131421,2010
1043000605,2,1,1,2,NA,1,104300060501,0,742,0.899999976158142,0,0,0,0.641853873624048,2010
1043000605,2,1,1,2,NA,1,104300060501,0,930,0.899999976158142,0,0,0,0.641853873624048,2010
1043000605,1,1,1,2,4,1,104300060501,0,810,0.5,70000,140000,11.1562648066437,0.405465108108164,2010
1043000605,1,1,1,2,4,1,104300060501,0,741,0.5,0,0,0,0.405465108108164,2010
1043000605,1,1,1,2,4,1,104300060501,0,210,0.5,0,0,0,0.405465108108164,2010
1043000605,1,1,1,2,4,1,104300060501,0,744,0.5,0,0,0,0.405465108108164,2010
1043000605,1,1,1,2,4,1,104300060501,0,130,0.5,0,0,0,0.405465108108164,2010
1043000607,21,1,1,2,NA,1,104300060701,1,460,1,0,0,0,0.693147180559945,2010
1043000607,21,1,1,2,NA,1,104300060701,1,450,1,25000,25000,10.1266711030504,0.693147180559945,2010
1043000607,21,1,1,2,NA,1,104300060701,1,630,1,0,0,0,0.693147180559945,2010
1043000607,21,1,1,2,NA,1,104300060701,1,741,0.100000001490116,0,0,0,0.0953101811589757,2010
1043000607,1,1,1,2,NA,1,104300060701,1,760,0.5,0,0,0,0.405465108108164,2010
1043000607,1,1,1,2,NA,1,104300060701,1,741,0.5,0,0,0,0.405465108108164,2010
1043000607,1,2,NA,2,NA,2,104300060702,1,930,2,0,0,0,1.09861228866811,2010
1043000610,1,2,4,5,6,4,104300061004,0,810,0.25,0,0,0,0.22314355131421,2010
1043000610,3,1,1,2,4,1,104300061001,0,620,0.5,0,0,0,0.405465108108164,2010
1043000610,3,2,1,2,4,1,104300061001,0,630,1,0,0,0,0.693147180559945,2010
1043000610,3,2,1,2,4,1,104300061001,0,210,1,0,0,0,0.693147180559945,2010
1043000610,2,1,1,2,4,1,104300061001,0,810,0.5,24000,48000,10.0858507751287,0.405465108108164,2010
1043000610,2,2,1,2,4,1,104300061001,0,742,0.5,0,0,0,0.405465108108164,2010
1043000610,1,1,1,2,4,1,104300061001,0,310,0.5,0,0,0,0.405465108108164,2010
1043000611,21,1,1,2,4,1,104300061101,0,630,1.5,0,0,0,0.916290731874155,2010
1043000611,21,1,1,2,4,1,104300061101,0,310,1.5,0,0,0,0.916290731874155,2010
1043000611,21,1,1,2,4,1,104300061101,0,741,1.5,0,0,0,0.916290731874155,2010
1043000611,21,1,1,2,4,1,104300061101,0,210,1.5,0,0,0,0.916290731874155,2010
1043000611,21,1,1,2,4,1,104300061101,0,620,1.5,0,0,0,0.916290731874155,2010
1043000611,21,1,1,2,4,1,104300061101,0,640,1.5,0,0,0,0.916290731874155,2010
1043000804,1,1,2,3,9,2,104300080402,1,741,1.5,0,0,0,0.916290731874155,2010
1043000804,1,1,2,3,9,2,104300080402,1,630,1.5,0,0,0,0.916290731874155,2010
1043000804,1,1,2,3,9,2,104300080402,1,810,1.5,48000,32000,10.7789771230064,0.916290731874155,2010
1043000805,1,1,2,NA,NA,2,104300080502,1,210,0.0599999986588955,0,0,0,0.0582689068587828,2010
1043000805,1,1,2,NA,NA,2,104300080502,1,630,0.0599999986588955,0,0,0,0.0582689068587828,2010
1043000805,1,1,2,NA,NA,2,104300080502,1,741,0.0599999986588955,0,0,0,0.0582689068587828,2010
1043000805,2,2,2,1,NA,2,104300080502,1,620,0.25,0,0,0,0.22314355131421,2010
1043000805,2,1,2,1,NA,2,104300080502,1,810,0.5,40000,80000,10.5966597327836,0.405465108108164,2010
1043000805,2,1,2,1,NA,2,104300080502,1,742,0.5,25000,50000,10.1266711030504,0.405465108108164,2010
1043000806,2,1,2,6,11,2,104300080602,1,810,3,130000,43333.3333333333,11.7752974217158,1.38629436111989,2010
1043000806,2,1,2,6,11,2,104300080602,1,741,3,0,0,0,1.38629436111989,2010
1043000806,1,1,1,2,10,1,104300080608,1,810,1.5,60000,40000,11.002116507732,0.916290731874155,2010
1043000806,1,1,1,2,10,1,104300080608,1,741,1.5,0,0,0,0.916290731874155,2010
1043000806,1,1,1,2,10,1,104300080608,1,870,1.5,14000,9333.33333333333,9.54688403461792,0.916290731874155,2010
1043000806,2,3,1,2,10,1,104300080608,1,620,1,0,0,0,0.693147180559945,2010
1043000806,1,2,1,2,10,1,104300080608,1,130,0.25,0,0,0,0.22314355131421,2010
1043000806,2,2,2,6,11,2,104300080602,1,630,1,0,0,0,0.693147180559945,2010
1043000806,2,2,2,6,11,2,104300080602,1,210,1,100000,100000,11.5129354649202,0.693147180559945,2010
1043000806,2,2,2,6,11,2,104300080602,1,130,1,0,0,0,0.693147180559945,2010
1043000807,1,2,1,2,NA,1,104300080701,0,210,0.129999995231628,0,0,0,0.122217628504451,2010
1043000807,1,1,1,2,NA,1,104300080701,0,741,0.319999992847443,0,0,0,0.277631731179676,2010
1043000807,1,1,1,2,NA,1,104300080701,0,810,0.319999992847443,0,0,0,0.277631731179676,2010
1043000807,1,1,1,2,NA,1,104300080701,0,744,0.319999992847443,42000,131250.002933666,10.6454487065059,0.277631731179676,2010
1043000807,1,1,1,2,NA,1,104300080701,0,470,0.319999992847443,40000,125000.002793968,10.5966597327836,0.277631731179676,2010
1043000808,21,5,1,3,NA,1,104300080801,0,640,0.0500000007450581,0,0,0,0.0487901648790111,2010
1043000808,1,1,1,2,3,1,104300080801,0,741,2,0,0,0,1.09861228866811,2010
1043000808,1,1,1,2,3,1,104300080801,0,810,2,260000,130000,12.4684407561441,1.09861228866811,2010
1043000808,21,4,1,3,NA,1,104300080801,0,410,0.5,150000,300000,11.9183972397228,0.405465108108164,2010
1043000808,21,2,1,2,3,1,104300080801,0,620,0.200000002980232,0,0,0,0.182321559277481,2010
1043000808,21,1,1,2,3,1,104300080801,0,630,0.400000005960464,0,0,0,0.336472240878687,2010
1043000808,21,6,1,2,NA,1,104300080801,0,890,0.300000011920929,60000,199999.992052714,11.002116507732,0.262364273637436,2010
1043000808,21,3,1,3,NA,1,104300080801,0,510,0.0500000007450581,40000,799999.988079071,10.5966597327836,0.0487901648790111,2010
1043000809,2,1,2,3,NA,2,104300080902,1,741,0.5,0,0,0,0.405465108108164,2010
